item_id,version,status,blueprint_version,major_category,subcategory,difficulty,tags_anatomy_region,tags_physics_concept,tags_positioning_theme,tags_clinical_concept,tags_imaging_system,stem,option_a,option_b,option_c,option_d,correct_option,explanation,author,last_updated
HSP-03,1,review,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",2,skull,,Towne,evaluation criteria,general radiography,The AP axial (Towne) skull projection is primarily used to demonstrate the:,Sella turcica in profile,Occipital bone and foramen magnum region,Parietal bones without distortion,Nasal bones with minimal superimposition,B,The Towne projection emphasizes the occipital bone and foramen magnum region. Lateral sella is a lateral skull. Parietals are better assessed on other skull projections. Nasal bones require dedicated nasal projections.,chatgpt,2026-02-25
HSP-04,1,review,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,lumbar spine,,oblique,zygapophyseal joints,general radiography,Lumbar spine obliques are primarily performed to demonstrate the:,Spinous processes,Intervertebral foramina,Zygapophyseal joints,Sacroiliac joints,C,"Lumbar obliques best show zygapophyseal joints. Cervical obliques emphasize foramina, but lumbar foramina are best on lateral. Spinous processes are seen on AP. SI joints are evaluated with dedicated SI views.",chatgpt,2026-02-25
HSP-05,1,review,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",4,pelvis/hip,,rotation,femoral neck,general radiography,"For an AP hip, internal rotation of the affected leg is primarily used to:",Reduce patient dose,Place the femoral neck parallel to the detector,Open the SI joints,Demonstrate the acetabulum in profile,B,"Internal rotation corrects natural femoral anteversion, placing the femoral neck more parallel to the detector and reducing foreshortening. Rotation doesn’t directly reduce dose. SI joints and acetabulum profile require different positioning.",chatgpt,2026-02-25
PC-08,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,contrast reaction,general radiography,A patient develops mild urticaria immediately after IV iodinated contrast administration. What is the most appropriate initial response by the radiographer?,Continue exam and document only,Notify radiologist and monitor patient,Administer epinephrine immediately,Initiate CPR,B,"Mild contrast reactions (e.g., urticaria, pruritus) require monitoring and physician notification. Epinephrine is reserved for severe reactions.",chatgpt,2026-02-26
PC-09,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,infection control,general radiography,"In the chain of infection, which component represents the method by which a pathogen is transferred from one host to another?",Reservoir,Portal of entry,Mode of transmission,Susceptible host,C,"Mode of transmission refers to the mechanism of spread (direct contact, droplet, airborne, etc.).",chatgpt,2026-02-26
PC-10,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,consent,general radiography,A trauma patient is unconscious and requires an emergent CT scan with contrast. No family is present. What type of consent applies?,Written informed consent,Implied consent,Expressed consent,Minor consent,B,Implied consent applies in life-threatening emergencies when immediate treatment is required.,chatgpt,2026-02-26
PC-11,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,ergonomics,general radiography,"When transferring a patient from stretcher to table using a transfer board, which principle reduces risk of injury?",Bend at the waist,Keep feet together,Maintain wide base of support,Pull using extended arms only,C,A wide base of support improves stability and reduces musculoskeletal strain.,chatgpt,2026-02-26
PC-12,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,medical emergency,general radiography,A patient becomes diaphoretic and confused prior to an exam. They state they are diabetic. What should the radiographer suspect first?,Hyperglycemia,Hypoglycemia,Stroke,Contrast reaction,B,Diaphoresis and confusion are classic signs of hypoglycemia.,chatgpt,2026-02-26
PC-13,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,renal function,general radiography,A patient’s eGFR is significantly reduced. What is the primary concern before administering iodinated contrast?,Allergic reaction,Nephrotoxicity,Hyperglycemia,Extravasation,B,Reduced eGFR indicates increased risk of contrast-induced nephropathy.,chatgpt,2026-02-26
RPR-06,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,bremsstrahlung,,,general radiography,Bremsstrahlung radiation is produced when an electron:,Strikes outer shell electron,Interacts with filament,Is decelerated near nucleus,Leaves the tube housing,C,Bremsstrahlung results from electron deceleration in the nuclear field.,chatgpt,2026-02-26
RPR-07,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,inverse square law,,,general radiography,"If distance from the source is doubled, radiation intensity becomes:",1/2,1/3,1/4,1/8,C,Intensity is inversely proportional to distance squared.,chatgpt,2026-02-26
RP-06,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,radiation protection,general radiography,The principle of ALARA applies primarily to:,Patient shielding,Personnel exposure,Equipment QA,Image brightness,B,ALARA specifically addresses minimizing occupational exposure.,chatgpt,2026-02-26
RP-07,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,fluoroscopy,general radiography,Increasing source-to-skin distance during fluoroscopy will:,Increase skin dose,Decrease skin dose,Increase magnification,Increase scatter,B,Greater source-to-skin distance reduces skin entrance dose.,chatgpt,2026-02-26
RPR-08,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,Compton,,,general radiography,Compton interactions primarily affect:,Image contrast,Spatial resolution,Detector efficiency,Beam filtration,A,Compton scatter increases fog and reduces image contrast.,chatgpt,2026-02-26
RP-08,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,PPE,general radiography,The minimum lead equivalent for protective aprons is typically:,0.1 mm Pb,0.25 mm Pb,0.5 mm Pb,1.0 mm Pb,C,Standard protective aprons are 0.5 mm lead equivalent.,chatgpt,2026-02-26
RPR-09,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,radiobiology,,,general radiography,Deterministic effects are characterized by:,No threshold,Probability only,Threshold dose,Genetic mutation only,C,Deterministic effects have a threshold and severity increases with dose.,chatgpt,2026-02-26
RP-09,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,personnel monitoring,general radiography,A dosimeter should be worn:,Under apron at waist,At collar outside apron,On wrist only,On shoe,B,Collar placement monitors exposure to head and thyroid.,chatgpt,2026-02-26
IA-04,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,mAs,,,general radiography,Increasing mAs primarily affects:,Contrast,Density (receptor exposure),Spatial resolution,Beam quality,B,mAs controls quantity of photons reaching receptor.,chatgpt,2026-02-26
IA-05,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,kVp,,,general radiography,Increasing kVp while maintaining mAs will:,Increase contrast,Decrease contrast,Decrease penetration,Increase noise,B,Higher kVp increases beam penetration and reduces contrast.,chatgpt,2026-02-26
IA-06,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,SID,,,general radiography,Increasing SID while maintaining exposure factors will:,Increase magnification,Decrease magnification,Increase OID,Increase distortion,B,Greater SID reduces magnification.,chatgpt,2026-02-26
IA-07,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,grid,,,general radiography,Using a grid primarily improves:,Spatial resolution,Contrast,Brightness,Bit depth,B,Grids absorb scatter and improve contrast.,chatgpt,2026-02-26
IA-08,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,quantum noise,,,general radiography,Increasing exposure to the detector reduces:,Spatial resolution,Distortion,Quantum noise,MTF,C,Higher exposure improves signal-to-noise ratio.,chatgpt,2026-02-26
EQ-04,1,draft,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,3,,AEC,,,general radiography,Incorrect centering over AEC chamber results in:,Overexposure,Underexposure,No effect,Increased SID,A,"If anatomy does not cover the active cell properly, exposure errors occur.",chatgpt,2026-02-26
IA-09,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,heel effect,,,general radiography,The anode heel effect results in greater intensity on the:,Anode side,Cathode side,Central beam,Heel side only,B,Beam intensity is greater on cathode side.,chatgpt,2026-02-26
IA-10,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,,,digital imaging,general radiography,Electronic cropping after exposure primarily affects:,Radiation dose,Image metadata,Brightness only,Patient exposure,B,Cropping hides anatomy but does not reduce dose; metadata/processing integrity is affected.,chatgpt,2026-02-26
HSP-06,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,cervical spine,,trauma,,general radiography,"For a trauma lateral C-spine, the central ray is directed:",15° cephalad,Horizontal beam,15° caudad,Perpendicular,B,Trauma lateral requires horizontal beam to maintain immobilization.,chatgpt,2026-02-26
HSP-07,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,cervical spine,,,,general radiography,The AP axial cervical spine requires what CR angle?,10° cephalad,15–20° cephalad,15–20° caudad,30° cephalad,B,Standard AP axial C-spine uses 15–20° cephalad.,chatgpt,2026-02-26
TA-03,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,2,chest,,,,general radiography,Full inspiration chest radiograph demonstrates how many posterior ribs?,6,8,10,12,C,10 posterior ribs indicate adequate inspiration.,chatgpt,2026-02-26
TA-04,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,abdomen,,,,general radiography,An upright abdomen is performed primarily to evaluate:,Masses,Calcifications,Air-fluid levels,Kidney size,C,Upright abdomen demonstrates free air and air-fluid levels.,chatgpt,2026-02-26
EXT-01,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,shoulder,,,,general radiography,The Grashey method best demonstrates:,Greater tubercle,AC joint,Glenohumeral joint,Coracoid process,C,Grashey shows true AP glenoid joint space.,chatgpt,2026-02-26
EXT-02,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,knee,,,,general radiography,The Holmblad method demonstrates:,Patella,Tibial plateau,Intercondylar fossa,Fibular head,C,Holmblad visualizes intercondylar fossa.,chatgpt,2026-02-26
HSP-08,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,lumbar spine,,,,general radiography,Posterior oblique lumbar spine demonstrates:,Zygapophyseal joints,Spinous processes,Disc spaces only,Sacroiliac joints,A,Posterior obliques show zygapophyseal joints.,chatgpt,2026-02-26
HSP-09,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,pelvis,,,,general radiography,The Judet method evaluates:,Femoral neck,Acetabulum,Sacrum,SI joints,B,Judet views evaluate acetabular columns.,chatgpt,2026-02-26
EXT-03,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,foot,,,,general radiography,The AP axial foot requires approximately:,5° cephalad,10° cephalad,10° caudad,15° caudad,B,Standard AP axial foot is 10° cephalad.,chatgpt,2026-02-26
TA-05,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,ribs,,,,general radiography,"To demonstrate left posterior ribs, position patient in:",RAO,LAO,RPO,LPO,C,Posterior ribs are demonstrated on side closest to IR (RPO for left posterior).,chatgpt,2026-02-26
PC-14,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,communication,general radiography,"When communicating with a patient who has limited English proficiency, the most appropriate action is to:",Ask a family member to interpret,Speak louder and slower,Use a qualified medical interpreter,Skip detailed explanations,C,A qualified interpreter ensures accuracy and protects patient rights and safety.,chatgpt,2026-02-28
PC-15,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,infection control,general radiography,Standard precautions require hand hygiene:,Only after patient contact,Before and after patient contact,Only when gloves are visibly soiled,Only after exposure to blood,B,Hand hygiene is required before and after all patient contact.,chatgpt,2026-02-28
PC-16,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,HIPAA,general radiography,Discussing a patient’s exam results in an elevator with coworkers violates:,Informed consent,HIPAA,Respondeat superior,Implied consent,B,HIPAA protects patient confidentiality in all settings.,chatgpt,2026-02-28
PC-17,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,extravasation,general radiography,"During contrast injection, swelling and pain occur at the IV site. The radiographer should first:",Apply warm compress immediately,Stop injection,Elevate limb only,Increase injection rate,B,Stop the injection immediately to limit tissue damage; then follow facility protocol.,chatgpt,2026-02-28
PC-18,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,CPR,general radiography,"If a patient becomes pulseless in the imaging room, the radiographer’s first action is to:",Call a code and begin CPR,Finish the exposure,Lower the table,Document the event,A,Activate emergency response and begin CPR immediately.,chatgpt,2026-02-28
PC-19,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,ergonomics,general radiography,"When moving a patient, twisting while lifting increases risk of:",Radiation exposure,Back injury,Motion artifact,Hypotension,B,Twisting under load increases musculoskeletal injury risk.,chatgpt,2026-02-28
RPR-10,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,characteristic radiation,,,general radiography,Characteristic radiation occurs when an electron:,Interacts with filament,Ejects inner shell electron,Leaves collimator,Strikes housing,B,Inner-shell ionization followed by outer-shell transition produces characteristic x-rays.,chatgpt,2026-02-28
RPR-11,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,HVL,,,general radiography,The half-value layer represents the:,Beam intensity,Beam filtration thickness reducing intensity by half,Patient dose,Scatter fraction,B,"HVL is the thickness of material that reduces beam intensity by 50%, reflecting beam quality.",chatgpt,2026-02-28
RP-10,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,time,general radiography,Doubling fluoroscopy time while keeping all other factors constant will:,Double dose,Quadruple dose,Halve dose,Not affect dose,A,Dose is directly proportional to time.,chatgpt,2026-02-28
RP-11,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,inverse square law,,distance,general radiography,Increasing distance from 1 m to 3 m reduces exposure to approximately:,1/2,1/3,1/9,1/6,C,Inverse square law: (1/3)^2 = 1/9.,chatgpt,2026-02-28
RPR-12,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,stochastic effects,,,general radiography,Stochastic effects are characterized by:,Threshold dose,Severity increases with dose,Probability increases with dose,Immediate onset,C,Stochastic effects have no threshold; probability increases with dose.,chatgpt,2026-02-28
RP-12,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,fluoroscopy ABC,general radiography,Automatic brightness control compensates for increased patient thickness by:,Reducing kVp,Increasing exposure rate,Decreasing mAs only,Reducing SID,B,ABC increases x-ray output to maintain image brightness.,chatgpt,2026-02-28
RP-13,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,fetal badge,general radiography,A declared pregnant technologist should wear fetal dosimeter:,At collar,Under apron at waist,On wrist,On shoe,B,Fetal badge is worn under the apron at waist level to estimate fetal exposure.,chatgpt,2026-02-28
RPR-13,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,scatter,,,general radiography,Scatter radiation increases with:,Lower kVp,Smaller field size,Higher kVp,Increased SID,C,Higher kVp increases Compton interactions and scatter production.,chatgpt,2026-02-28
IA-11,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,OID,,geometry,general radiography,Increasing object-to-image distance causes:,Decreased magnification,Increased magnification,Increased contrast,Decreased distortion,B,Greater OID increases magnification and distortion.,chatgpt,2026-02-28
IA-12,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,focal spot,,,general radiography,A smaller focal spot improves:,Contrast,Spatial resolution,Beam quality,Patient dose,B,Smaller focal spot reduces geometric unsharpness.,chatgpt,2026-02-28
IA-13,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,collimation,,,general radiography,Collimation primarily reduces:,Patient motion,Scatter radiation,kVp,SID,B,"Collimation reduces scatter reaching the detector, improving contrast.",chatgpt,2026-02-28
IA-14,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,bit depth,,,general radiography,Increasing bit depth primarily increases:,Spatial resolution,Contrast resolution,Magnification,Noise,B,Greater bit depth provides more grayscale levels (better contrast resolution).,chatgpt,2026-02-28
IA-15,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,15% rule,,,general radiography,Increasing kVp by 15% while halving mAs results in:,Increased contrast,Similar receptor exposure,Increased dose,Underexposure,B,The 15% rule maintains receptor exposure when mAs is halved.,chatgpt,2026-02-28
IA-16,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,motion,,,general radiography,Voluntary motion artifact primarily reduces:,Contrast,Spatial resolution,Beam intensity,Filtration,B,"Motion blurs detail, reducing recorded sharpness.",chatgpt,2026-02-28
IA-17,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,heel effect,,,general radiography,"For femur imaging, thicker portion should be placed under:",Anode side,Cathode side,Center of beam,Grid line focus,B,Cathode side has greater x-ray intensity due to heel effect.,chatgpt,2026-02-28
EQ-05,1,draft,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,3,,grid cutoff,,,general radiography,Off-level grid alignment causes:,Increased contrast,Uniform exposure,Grid cutoff,Increased magnification,C,Off-level grids absorb primary beam causing cutoff.,chatgpt,2026-02-28
HSP-10,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,thoracic spine,,,,general radiography,"For AP thoracic spine, CR is directed:",10° cephalad,Perpendicular,15° caudad,20° cephalad,B,Standard AP thoracic spine uses a perpendicular CR.,chatgpt,2026-02-28
HSP-11,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,lumbar spine,,,,general radiography,AP axial L5-S1 requires:,15° cephalad,30° cephalad,15–20° caudad,Perpendicular,C,L5-S1 requires caudad angle to open the disc space.,chatgpt,2026-02-28
TA-06,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,chest,,,,general radiography,An AP lordotic chest best demonstrates:,Costophrenic angles,Lung apices,Sternum,Heart size,B,Lordotic projects clavicles above lung apices.,chatgpt,2026-02-28
TA-07,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,abdomen,,,,general radiography,A left lateral decubitus abdomen demonstrates:,Right free air,Left free air,Kidney stones,Pelvic fractures,A,Left lateral decubitus positions right side up so free air rises and is seen adjacent to liver.,chatgpt,2026-02-28
EXT-04,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,elbow,,,,general radiography,A true lateral elbow demonstrates:,Radial head free of ulna,Superimposed epicondyles,Open olecranon fossa,Open radiocarpal joint,B,A true lateral elbow shows superimposed humeral epicondyles.,chatgpt,2026-02-28
EXT-05,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,wrist,,,,general radiography,PA wrist with ulnar deviation best demonstrates:,Scaphoid,Pisiform,Hamate,Capitate,A,Ulnar deviation elongates the scaphoid.,chatgpt,2026-02-28
EXT-06,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,hip,,,,general radiography,Cross-table lateral hip CR is directed:,15° cephalad,Perpendicular to femoral neck,45° cephalad,20° caudad,B,CR is perpendicular to the femoral neck for lateral hip.,chatgpt,2026-02-28
HSP-12,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,SI joints,,,,general radiography,Posterior oblique SI joints demonstrate:,Side up,Side down,Both equally,Sacrum only,B,Posterior obliques demonstrate the SI joint closest to the IR (side down).,chatgpt,2026-02-28
EXT-07,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,calcaneus,,,,general radiography,Plantodorsal axial calcaneus requires CR angle of approximately:,10°,20°,40°,60°,C,Calcaneus axial uses ~40° cephalad angle.,chatgpt,2026-02-28
HSP-13,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,mandible,,,,general radiography,Axiolateral oblique mandible demonstrates:,Ramus,Body,TMJ,Zygoma,B,Axiolateral oblique can demonstrate mandibular body (depending on positioning).,chatgpt,2026-02-28
PC-20,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,TB isolation,general radiography,A patient with active tuberculosis requires which isolation precaution?,Contact,Droplet,Airborne,Standard only,C,Tuberculosis requires airborne precautions due to aerosolized transmission.,chatgpt,2026-02-28
PC-21,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,nonionic contrast,general radiography,"Compared with ionic contrast agents, nonionic contrast media are generally associated with:",Higher osmolality,Greater toxicity,Fewer adverse reactions,Increased viscosity only,C,Nonionic contrast has lower osmolality and fewer adverse reactions.,chatgpt,2026-02-28
PC-22,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,dementia communication,general radiography,"When explaining a procedure to a patient with mild dementia, the most effective strategy is to:",Provide lengthy technical explanation,"Use short, simple instructions",Avoid eye contact,Speak only to family,B,"Simple, clear instructions improve comprehension.",chatgpt,2026-02-28
PC-23,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,respondeat superior,general radiography,The doctrine of respondeat superior means the:,Patient is responsible for consent,Employer may be liable for employee actions,Radiographer is immune from liability,Physician assumes all legal risk,B,Employers may be held responsible for actions of employees.,chatgpt,2026-02-28
PC-24,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,seizure,general radiography,"During a seizure in the imaging room, the radiographer should first:",Restrain patient limbs tightly,Insert tongue blade,Protect patient from injury,Continue exposure,C,Protect patient from injury; do not restrain forcefully or insert objects into mouth.,chatgpt,2026-02-28
PC-25,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,patient transfer,general radiography,A Hoyer lift is primarily used to:,Reduce scatter radiation,Transfer non-ambulatory patients safely,Immobilize extremities,Support IV lines,B,Mechanical lifts reduce staff injury risk during transfers.,chatgpt,2026-02-28
RPR-14,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,air kerma,,,general radiography,Air kerma measures:,Absorbed dose in tissue,Energy transferred to air,Effective dose,Dose equivalent,B,Air kerma refers to kinetic energy released per unit mass in air.,chatgpt,2026-02-28
RPR-15,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,effective dose,,,general radiography,Effective dose accounts for:,Tissue weighting factors,Beam quality only,Filtration thickness,HVL only,A,Effective dose accounts for varying tissue sensitivities (tissue weighting).,chatgpt,2026-02-28
RPR-16,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,oxygen effect,,,general radiography,Cells are more radiosensitive in the presence of:,Hypoxia,Oxygen,Low LET radiation,Filtration,B,Oxygen enhances radiation damage and radiosensitivity.,chatgpt,2026-02-28
RP-14,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,filtration,,,general radiography,Added filtration primarily removes:,High-energy photons,Low-energy photons,Scatter radiation,Compton interactions,B,Filtration removes low-energy photons that contribute to skin dose.,chatgpt,2026-02-28
RP-15,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,high level control,general radiography,High-level control fluoroscopy results in:,Lower dose rate,Increased dose rate,Reduced image brightness,Lower kVp,B,"High-level control increases output for difficult imaging, increasing dose rate.",chatgpt,2026-02-28
RP-16,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,dose limits,general radiography,Annual occupational effective dose limit for radiation workers is approximately:,5 mSv,10 mSv,50 mSv,100 mSv,C,The annual occupational effective dose limit is 50 mSv (5 rem).,chatgpt,2026-02-28
RP-17,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,collimation,general radiography,Reducing field size will:,Increase scatter,Decrease scatter,Increase beam quality,Increase HVL,B,Smaller field size reduces scatter production.,chatgpt,2026-02-28
RPR-17,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,photoelectric,,,general radiography,Photoelectric interactions are more likely with:,High kVp,Low atomic number tissue,Low kVp and high Z,Large SID,C,Photoelectric probability increases with lower kVp and higher atomic number materials.,chatgpt,2026-02-28
IA-18,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,matrix,,,general radiography,Increasing matrix size while maintaining field of view will:,Increase pixel size,Decrease spatial resolution,Increase spatial resolution,Increase distortion,C,More pixels per area improves spatial resolution.,chatgpt,2026-02-28
IA-19,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,quantum mottle,,,general radiography,Quantum mottle is primarily caused by:,Excessive kVp,Insufficient photon quantity,Improper collimation,Grid misalignment,B,Low photon counts increase quantum noise.,chatgpt,2026-02-28
IA-20,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,DEL,,,general radiography,Smaller detector elements result in:,Higher DQE,Improved spatial resolution,Increased distortion,Lower resolution,B,Smaller detector elements improve spatial resolution.,chatgpt,2026-02-28
IA-21,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,exposure indicator,,,general radiography,A high exposure indicator number in DR typically suggests:,Underexposure,Overexposure,Correct exposure,Grid cutoff,B,Higher exposure indicators generally correspond to higher detector exposure (vendor-dependent).,chatgpt,2026-02-28
IA-22,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,contrast resolution,,,general radiography,Contrast resolution refers to the ability to:,Visualize small objects,Differentiate subtle density differences,Increase brightness,Reduce magnification,B,Contrast resolution differentiates subtle tissue density differences.,chatgpt,2026-02-28
IA-23,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,SID,,,general radiography,Increasing SID requires what adjustment to maintain receptor exposure?,Increase kVp,Increase mAs,Decrease mAs,Reduce grid ratio,B,Increasing distance reduces intensity; increase mAs to maintain exposure.,chatgpt,2026-02-28
IA-24,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,comp filter,,,general radiography,A wedge filter is used primarily to:,Reduce patient dose overall,Equalize exposure in uneven anatomy,Increase contrast,Improve spatial resolution,B,Compensating filters equalize receptor exposure for uneven body parts.,chatgpt,2026-02-28
IA-25,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,histogram,,,general radiography,Incorrect histogram analysis in CR most often results in:,Grid cutoff,Improper image brightness/contrast,Increased SID,Reduced noise,B,Histogram errors cause processing mistakes affecting brightness/contrast.,chatgpt,2026-02-28
HSP-14,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,cervical spine,,,,general radiography,The open-mouth odontoid view demonstrates:,C1 only,C2 body,Dens and lateral masses of C1,C7-T1 junction,C,Odontoid view visualizes dens and C1 lateral masses.,chatgpt,2026-02-28
HSP-15,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,thoracic spine,,,,general radiography,Lateral thoracic spine often uses breathing technique to:,Increase contrast,Blur ribs and lung markings,Reduce dose,Increase kVp,B,Breathing blurs superimposed ribs and lung markings.,chatgpt,2026-02-28
TA-08,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,2,abdomen,,,,general radiography,Supine abdomen CR is centered at:,Iliac crest,Xiphoid,ASIS,Greater trochanter,A,Iliac crest approximates L4-L5 for abdomen centering.,chatgpt,2026-02-28
TA-09,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,sternum,,,,general radiography,Sternum is best demonstrated in:,LAO,RAO,AP,Lateral,B,RAO projects sternum over heart shadow.,chatgpt,2026-02-28
EXT-08,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,shoulder,,,,general radiography,Scapular Y view is used to assess:,AC separation,Anterior/posterior dislocation,Glenoid erosion,Humeral fracture only,B,Scapular Y is used to evaluate shoulder dislocation.,chatgpt,2026-02-28
EXT-09,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,knee,,,,general radiography,Merchant method demonstrates:,Intercondylar fossa,Patellofemoral joint,Tibial plateau,Fibular head,B,Merchant demonstrates patellofemoral joint.,chatgpt,2026-02-28
EXT-10,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,foot,,,,general radiography,Medial oblique foot best demonstrates:,Cuboid and sinus tarsi,First metatarsal,Navicular only,Calcaneus only,A,Oblique foot demonstrates cuboid and sinus tarsi region.,chatgpt,2026-02-28
